last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,avg_best_speed,avg_hyper_speed,z_swing_miss_percent,oz_swing_miss_percent,oz_contact_percent,hp_to_1b,sprint_speed,
Schwarber, Kyle,656941,2022,.237,.535,.375,.341,.298,93.3,19.2,35.4,20.1,8.7,104.793857287,9.247555372,22.3,46.7,52.3,4.51,26.4,
Thomas, Lane,657041,2022,.222,.357,.286,.286,.135,86.4,12.5,32.6,6.5,5.7,98.449522283,5.255458474,14.7,37.1,62.9,4.38,29.4,
Verdugo, Alex,657077,2022,.278,.428,.329,.327,.151,89.1,8.4,37.8,6,7.6,99.112574241,5.706486823,9.6,32,68,4.38,26.8,
Ohtani, Shohei,660271,2022,.278,.552,.385,.361,.274,92.9,12.1,35,16.8,5.6,103.823624272,8.520363788,23.1,39.9,60.1,4.09,28.3,
Acuna Jr., Ronald,660670,2022,.272,.486,.366,.358,.214,91.2,10.8,32.8,12.8,6.1,103.759318129,8.440064282,19.6,39.9,60.1,4.27,28.5,
Varsho, Daulton,662139,2022,.214,.389,.298,.285,.176,87.7,14.9,33.6,10.2,8.4,99.211725904,5.6867316,20.6,36.5,61.5,4.28,28.0,
Hoerner, Nico,663538,2022,.270,.366,.301,.318,.097,87.2,10.7,32.6,2.6,4.7,97.678971875,4.908702909,7.3,27.1,71.9,4.28,29.1,
Riley, Austin,663586,2022,.271,.531,.378,.349,.260,92.5,12.9,37.7,15.7,8.4,104.398300222,8.785171533,18.7,47.8,52.2,4.5,27.8,
Mountcastle, Ryan,663624,2022,.277,.509,.362,.332,.232,91.3,15.9,39.5,15,4.7,101.941494208,7.335163391,22,42.9,57.1,4.51,27.5,
Hayes, Ke'Bryan,663647,2022,.250,.354,.303,.321,.105,91,5.2,30.6,3.9,6.2,102.263213822,7.477046745,10.7,41.3,58.7,4.41,27.9,
Tucker, Kyle,663656,2022,.262,.482,.353,.336,.220,90,19,34.4,10.2,10.2,100.332560357,6.468288036,13.4,39.5,60.2,4.51,26.6,
Grisham, Trent,663757,2022,.204,.354,.295,.302,.150,88.3,15.1,25.5,8.1,5.8,99.46593125,5.84436934,19.6,44.7,52.7,4.35,28.8,
Rodgers, Brendan,663898,2022,.265,.404,.326,.330,.139,90,4.6,31.3,7.2,5.6,101.127645047,6.882864603,15.4,41.6,58.4,4.52,26.7,
Lowe, Nathaniel,663993,2022,.275,.459,.344,.333,.184,90.2,8.2,34.1,9.9,5.2,101.963916216,7.317229707,17.9,43.7,56,4.39,27.1,
Happ, Ian,664023,2022,.239,.379,.306,.315,.140,89.7,10.9,29.2,6.5,6.5,100.312408396,6.405566288,20.5,44.6,55.4,4.32,27.9,
France, Ty,664034,2022,.262,.398,.321,.330,.136,87.6,10.1,34.8,5.4,5,99.00236807,5.536871667,9.8,39.5,60.5,4.88,24.7,
Straw, Myles,664702,2022,.236,.301,.275,.306,.065,87,9.8,34.1,0.7,4.8,95.486124533,3.784236481,8.1,28.4,71.6,4.14,29.3,
Bohm, Alec,664761,2022,.290,.436,.333,.327,.146,90.2,10.4,37.7,6.8,6,100.649873374,6.552579815,16.1,31.9,68.1,4.59,27.1,
Brown, Seth,664913,2022,.251,.454,.338,.324,.203,89.2,15.8,34.9,13,5.4,101.723429266,7.001222068,18,54.5,45.2,4.51,27.9,
Pena, Jeremy,665161,2022,.248,.397,.300,.285,.149,88.1,8.7,32.9,9.7,5.4,99.803563646,5.99255276,15.3,54.7,45.3,4.28,29.4,
Guerrero Jr., Vladimir,665489,2022,.276,.462,.348,.342,.185,92.8,4.3,27.9,11.2,6.8,105.507038582,9.328619789,16.3,41.3,58.7,4.56,26.6,
Soto, Juan,665742,2022,.266,.501,.401,.420,.235,91,9.1,28.5,12.4,7.2,102.236934112,7.653888852,13.6,35.2,64,4.39,26.6,
Gimenez, Andres,665926,2022,.257,.400,.326,.336,.143,87.8,11.7,31.3,6.2,6.5,99.022592,5.615976351,18.4,38.9,59.4,4.14,29.3,
Bichette, Bo,666182,2022,.278,.444,.334,.322,.166,91.9,8.5,33.3,9.6,7.2,102.743171296,8.003278846,14.8,40.3,59.7,4.5,27.5,
Garcia, Adolis,666969,2022,.244,.447,.322,.296,.204,92.1,13.2,36.9,12.9,9.3,102.368780141,7.786867388,26.6,44.6,55.4,4.35,27.9,
Arozarena, Randy,668227,2022,.234,.382,.301,.301,.148,89.9,8.8,28.2,7.9,5.8,101.17822,6.772195116,21.3,41.5,58.5,4.27,28.8,
Reynolds, Bryan,668804,2022,.249,.416,.329,.334,.167,90.2,12,35.5,7.9,6,100.882578564,6.722792556,15.8,51,49,4.34,28.3,
Rojas, Josh,668942,2022,.242,.365,.308,.327,.123,88.8,11.9,33.5,4.5,4.8,98.050444128,5.265048338,16.3,40.2,58.3,4.37,27.3,
Melendez Jr., MJ,669004,2022,.237,.410,.332,.334,.173,90.7,15.1,31,10.4,6.8,100.595888323,6.716383713,20.7,46.3,53.7,4.21,27.8,
Murphy, Sean,669221,2022,.255,.439,.344,.340,.184,88.7,11.5,34.7,10.5,6.5,101.085158756,6.706891435,17.2,39,61,4.62,26.1,
Edman, Tommy,669242,2022,.258,.380,.308,.318,.122,88.6,8.7,31.6,6.2,5.1,98.931648319,5.598664536,11.8,38.3,60.9,4.25,28.8,
Smith, Will,669257,2022,.257,.473,.352,.341,.216,89.9,18.4,36.8,10.3,7.2,99.764565096,6.188464255,16.1,29.1,70.9,4.5,27.5,
Hays, Austin,669720,2022,.240,.372,.298,.298,.132,87.7,11.3,32.3,5.2,7.1,98.997922429,5.543165976,12.5,41.8,58,4.36,27.8,
Alvarez, Yordan,670541,2022,.329,.672,.462,.430,.343,95.2,12.3,40.7,21,7.5,105.676985081,10.195923324,12.4,47.3,52.7,4.53,26.5,
Kirk, Alejandro,672386,2022,.278,.431,.351,.367,.153,90.5,8.1,32,6.7,6.5,101.053304663,6.989537614,10.7,27,73,4.89,24.1,
Kim, Ha-Seong,673490,2022,.250,.368,.309,.324,.119,86.7,16.1,34,4.2,6.1,97.647567656,4.869312734,14.1,32.3,66.7,4.39,28.4,
Rodriguez, Julio,677594,2022,.254,.460,.337,.319,.206,92,10.1,32.7,13.1,8.4,103.718795769,8.379006446,19.9,48.6,51.4,4.24,29.8,
Witt Jr., Bobby,677951,2022,.253,.427,.314,.295,.175,89.7,16.8,32.5,8.7,4.6,100.836506783,6.527115512,17.9,38.9,61.1,4.13,30.4,
Kwan, Steven,680757,2022,.268,.341,.312,.348,.073,85.1,11.8,34.6,1.4,2.6,94.219058287,3.134248486,5.5,19.2,79.6,4.16,28.4,
Vaughn, Andrew,683734,2022,.255,.415,.319,.311,.160,90.8,7.5,34.1,7.9,10,101.162950291,7.12858284,12.2,37.3,62.7,4.71,26.2,
